id,god,period,brand_id,cached_brand,model_id,cached_model,generation_id,cached_generation,modification_id,cached_modification,dvigatel,tip,moschnost,privod,tip_kuzova,kpp,kod_kuzova,kod_dvigatelya,rinok,vin,frame,vin_or_frame,komplektaciya,dverey,rul,created_at,updated_at,car_number,creation_reason,notes,notes_invisible,somebody_id,creator_id
1,,"",69,VOLKSWAGEN,54,Passat,104,b2,1,syncro,2.0,Бензин,115,Полный,Универсал,Механика,"",HP006550,Германия,WVWZZZ33ZGE104019,"",vin,"",,"",2014-03-18 20:50:50.629437,2014-03-18 20:50:50.629437,"",frontend,"","",256143,256143
2,2007,2002-2007,59,CHEVROLET,8996,Aveo,15203,Aveo (1st generation) (2002),,,1.2,Бензин,"",Передний,Хетчбек,Механика,XUUSF48TJ80003628,"",Европа,"","",vin,"",5,Левое,2014-04-14 16:14:42.668117,2014-04-14 16:14:42.668117,"",frontend,"","",585814,585814
3,,"",54,MITSUBISHI,8299,Lancer,14032,Lancer VIII (2000),,,1.6,"","","","","","","","","","",vin,"",,"",2014-04-14 20:00:11.868121,2014-04-14 20:00:11.868121,"",frontend,"","",590400,590400
4,2006,2003-2007,54,MITSUBISHI,8299,Lancer,14030,Lancer IX (2003),,,1.6,Бензин,98,Передний,Седан,Механика,CS3A,"",Европа,"","",vin,"",4,Левый,2014-04-17 13:07:43.965246,2014-04-17 13:07:43.965246,"",frontend,"","",677611,677611
5,2012,"",8,NISSAN,10244,Qashqai,,,,,2.0,Бензин,141,передний,Хетчбек,Вариатор,"","",Великобритания,"","",vin,"",5,левое,2014-04-24 05:22:45.953354,2014-04-24 05:22:45.953354,"",frontend,"","",975781,975781
6,,"",68,SUZUKI,9711,Swift,,,,,"","","","","","","","","",JSAEZD11S00401371,"",vin,"",,"",2014-04-28 12:14:25.205886,2014-04-28 12:14:25.205886,"",frontend,"","",1243589,1243589
7,2010,"",54,MITSUBISHI,8261,ASX,13971,ASX (2010),,,1.8,Бензин,"",Передний,"",Вариатор,"","","","","",vin,"",5,Левый,2014-04-29 10:57:47.853562,2014-04-29 10:57:47.853562,"",frontend,"","",1287969,1287969
8,,"",54,MITSUBISHI,8317,Outlander XL,14075,Outlander XL (2005),,,"","","","","","","","","",JMBXLCW6W7Z008296,"",vin,"",,"",2014-05-05 09:03:07.148748,2014-05-05 09:03:07.148748,"",frontend,"","",1320949,1320949
9,,"",1824,ТОЙОТА,55,LAND CRUISER PRADO 120,105,2007,,,"","","","","","","","","",JTEBU29J705087124,"",vin,"",,"",2014-05-08 14:49:36.304814,2015-01-20 01:05:39.279149,"",frontend,"","",1506036,1506036
10,,"",1831,РОЛЬФ,56,мицубиси ланцер х,106,2011,2,инвайт,"","","","","","","","","",JMBSNCY2ABU004176,"",vin,"",,"",2014-05-14 14:26:21.055105,2015-01-20 01:05:39.457091,"",frontend,"","",1641463,1641463
11,2002,"",54,MITSUBISHI,8266,Chariot,,,,,2.4,бензин,"",передний,"",автомат,N84W,"",Япония ,"",N84W-0303438,frame,"",,Правый,2014-05-22 11:26:51.387423,2014-05-22 11:29:05.102324,"",frontend,"","",1786051,1786051
12,2008,"",54,MITSUBISHI,8299,Lancer,14029,Lancer X (2007),,,1.8,"","","","","","","","","","",vin,"",,"",2014-06-21 04:56:26.727914,2014-06-21 04:56:26.727914,"",frontend,"","",2700847,2700847
13,2000,2000/10,58,TOYOTA,9418,Corolla,15880,Corolla (120) (2000),,,1.5,Бинзин,110,Передний,седан,Автомат,"","",Азия,"","",vin,"",4,правый,2014-06-22 10:17:49.479648,2014-06-22 10:17:49.479648,"",frontend,"","",1999996,1999996
15,,"",1924,JAPAN,58,TOYOTA,108,4RUNNER,3,3.0 V6 N130,"","","","","","","","","",JТ111VND009002019,"",vin,"",,"",2014-09-03 05:44:46.314124,2014-09-03 05:44:46.314124,"",profile,"","",2969662,2969662
16,,"",51,HONDA,10480,Accord,17815,Accord (8th generation) (2008),,,"","","","","","","","","","","",vin,"",,"",2014-09-05 06:40:04.972566,2014-09-05 06:40:04.972566,"",profile,"","",3058559,3058559
18,,"",58,TOYOTA,9391,Auris,,,,,"","","","","","","","","",SB1ME4JE80E014210,"",vin,"",,"",2014-09-07 07:13:28.084634,2014-09-07 07:13:28.084634,"",profile,"","",3115265,3115265
19,,"",58,TOYOTA,9496,RAV4,16080,RAV4 (III) (2005),,,"","","","","","","","","","",ZSA30R-BWFGPW ,frame,"",,"",2014-09-10 04:02:09.051887,2014-09-10 04:02:09.051887,"",profile,"","",262054,262054
20,,"",54,MITSUBISHI,8299,Lancer,14029,Lancer X (2007),,,"","","","","","","","","",jmbsncy4a8u000579,"",vin,"",,"",2014-09-15 12:07:52.005362,2014-09-15 12:07:52.005362,"",profile,"","",3279175,3279175
21,,"",39,LEXUS,9291,GS,15659,GS (JZS190) (2005),,,"","","","","","","","","",JTHCH96S660002815,"",vin,"",,"",2014-09-28 07:47:10.512749,2014-09-28 07:47:10.512749,"",profile,"","",3784165,3784165
22,,"",1943,ADAM  OPEL  AG,59,OPEL,109,ASTRA,4,J,"","","","","","","","","",WOLPD6DD2BG124556,"",vin,"",,"",2014-10-04 04:52:46.142684,2014-10-04 04:52:46.142684,"",profile,"","",4102032,4102032
23,,"",58,TOYOTA,9418,Corolla,,,,,"","","","","","","","","",JTNBV56E502012929,"",vin,"",,"",2014-10-06 07:32:34.590476,2014-10-06 07:32:34.590476,"",profile,"","",4246008,4246008
25,2005,"",1377,LAND ROVER,158,Discovery 3,827,2005,5,4.4 v.8,4.4,Бензин,296,"","","","","","",SALLAAA545A327619,"",vin,"",,"",2014-10-16 04:57:06.889169,2014-10-16 04:58:17.387166,"",profile,"","",4807810,4807810
26,,"",54,MITSUBISHI,8299,Lancer,828,LANCER IX (2006),,,"","","","","","","","","","","",vin,"",,"",2014-11-12 08:48:35.59981,2014-11-12 08:48:35.59981,"",profile,"","",6190771,6190771
27,2011,"",8,NISSAN,10232,Pathfinder,513,PATHFINDER R51M,,,3.0,Дизель,231,Полный,Внедорожник,АКПП,"","","",VSKJAWR51U0424614,Nissan pathfinder 3.0d,vin,"",,"",2014-11-18 12:04:01.696423,2014-11-18 12:04:01.696423,"",profile,"","",6496652,6496652
28,2001,1997-2003,54,MITSUBISHI,57,chariot grandis,107,2002,,,2.4,бензин,165,полный,минивен,Автомат,"","","","","",vin,"",,"",2014-12-27 21:27:45.16075,2014-12-27 21:27:45.16075,"",profile,"","",8033685,8033685
29,2007,"",54,MITSUBISHI,8297,L200,14026,L200 (4th generation) (2006),,,"","","","","","","","","",MMBJNKB407D138714,"",vin,"",,"",2015-01-02 17:34:55.298472,2015-01-02 17:38:16.18963,"",profile,"","",8365607,8365607
30,,"",54,MITSUBISHI,8262,Carisma,423,CARISMA DA,,,"","","","","","","","","",XMCSNDA1A3F033664,"",vin,"",,"",2015-01-19 08:46:37.570345,2015-01-19 08:46:37.570345,"",profile,"","",9227927,9227927
31,2012,"",39,LEXUS,107,LS460,367,LS460/460L USF40,,,"",бензин,"",полный,седан,автомат,"","","",JTHDL46F705004737,"",vin,"",,"",2015-01-21 07:14:09.695982,2015-01-21 07:14:09.695982,"",profile,"","",9344850,9344850
32,,"",54,MITSUBISHI,8299,Lancer,,,,,"","","","","","","","","",JMBSRCS3A6U008327,"",vin,"",,"",2015-01-22 19:08:46.724496,2015-01-22 19:08:46.724496,"",profile,"","",9421353,9421353
33,,"",54,MITSUBISHI,8312,Montero,14067,Montero III (V60) (1999),,,"","","","","","","","","","","",vin,"",,"",2015-02-11 03:41:47.332386,2015-02-11 03:41:47.332386,"",profile,"","",10333812,10333812
